make,missing_fcc,missing_chip,missing_battery,total_variants
Ford,77,483,79,485
Chevrolet,66,301,69,301
Toyota,45,210,46,210
Kia,18,153,19,153
Nissan,13,151,19,151
Honda,26,130,27,132
Hyundai,20,128,27,130
Lexus,0,119,5,119
Gmc,36,103,37,103
Dodge,6,102,8,102
Buick,21,94,22,94
Subaru,0,89,0,89
Jeep,9,78,10,78
Lincoln,25,74,25,74
Cadillac,0,56,1,56
Mazda,0,53,0,53
Infiniti,0,46,1,46
Jaguar,0,45,1,45
Land,0,42,0,42
Acura,0,35,0,35
Mitsubishi,0,26,0,26
Chrysler,0,23,2,23
Maserati,0,8,0,8
Ram,0,6,0,6
Coin,4,4,0,4
Scion,0,1,0,1
BMW,0,0,0,1
